"genes" "astrocyte"
"Pip4k2a" 221.582216497589
"Herpud1" 91.2961939536525
"Ecscr" 12.3465438594884
"Atf4" 155.891147100651
"Ncf1" 0.251810660017835
"Rps25" 150.804326806695
"Nop10" 218.102007298168
"Rap1a" 245.371131062176
"Cnih1" 270.579900104597
"Rgcc" 431.794090206462
"Psmb4" 240.872454492011
"Pgrmc1" 253.63147915368
"Nudt16l1" 179.712844654055
"Adgrg1" 108.038319338698
"Rpl7" 175.498335289076
"Pttg1ip" 209.434481490208
"Lap3" 258.683145334054
"Phf5a" 241.008493961611
"Edem2" 61.9525028031995
"Dad1" 213.061569032991
"Vamp8" 66.3141379356157
"Gm4735" 270.957158428085
"Pigyl" 316.639534362596
"Pkm" 242.178962453234
"Hspe1" 204.483796580181
"Pmepa1" 19.3940974450878
"Tceal9" 261.273721994767
"Nkain4" 387.408639339218
"Hmox2" 203.157617604703
"Ech1" 252.541382330586
"Dnajc15" 223.009245858108
"Lamtor4" 115.775455814686
"Tmem151a" 395.829426732466
"Reep5" 250.339598950884
"Tgfbr1" 7.19086428369976
"Cwc15" 241.663383892589
"Rnaset2b" 36.4974795784302
"Pld3" 77.739091902481
"Alox5ap" 0.43810976413183
"Atpif1" 145.421810126057
"Slc22a17" 330.384657297172
"Cdk2ap2" 159.174218251855
"Twf2" 44.233882206785
"Pdia4" 160.734078338914
"Rab1b" 224.729656258095
"2010107E04Rik" 248.376503434667
"Eci1" 273.684632838167
"Arf4" 173.169267666855
"Mlf2" 278.945474733926
"Park7" 222.622401512993
"Os9" 151.656429438331
"Rpl3" 144.327505268948
"Slc44a1" 365.942502915164
"Uqcrq" 239.963988984954
"Gm15487" 218.834686715106
"Gamt" 357.860938994058
"Plxdc2" 60.0057761023267
"Eif4a3" 186.803240429027
"Tomm22" 191.207143141037
"Pcp4l1" 378.174235715302
"H2-DMa" 2.56394237760411
"Lair1" 1.31124017575662
"S100b" 378.719459323409
"Mir219a-2" 350.502273072016
"Snu13" 237.722606002958
"Olfml1" 378.885945052659
"Plin3" 360.015171734092
"Rpl14" 182.21613802218
"Cnn3" 358.722816301286
"Trappc1" 155.390573502544
"Pdcd5-ps" 216.531046691595
"Tmem88b" 366.671711237923
"Lamtor2" 203.976977578661
"Srgn" 98.2342239104453
"Psma7" 205.289014376593
"Bcl2a1d" 0.218304560746853
"Lmo2" 58.0264248828649
"Imp3" 257.729486457964
"Jtb" 190.605274527403
"Myl12a" 214.703930646399
"Cotl1" 21.4232388579845
"Ptpra" 177.661142773593
"Gadd45g" 100.105321769171
"Mtch1" 230.871620844244
"Tmem208" 160.579471926099
"Ghitm" 194.712651244622
"Atp6v1c1" 95.6044224531736
"Fabp7" 390.854531241733
"Rps5" 170.928234336015
"Cnpy2" 138.599573999473
"Fabp5" 364.317757032965
"Atp5o" 256.506932517885
"Eno1" 248.49068420969
"Cpox" 337.520759461457
"Fam49b" 45.2459884890888
"Psmc3" 191.557643755813
"Canx" 133.115356569679
"Txndc17" 208.25965902662
"Cxxc5" 107.440945316313
"Hmgn2-ps1" 291.144353577824
"Mir142hg" 0.6505373642193
"Tmx2" 237.83617521278
"Irf5" 1.85939345001276
"Rps8" 172.689732196734
"Rab18" 232.306746121415
"Snx5" 70.8256748589538
"Gjc3" 338.177755687244
"Fmc1" 306.561599873969
"Ndufs2" 223.554424071203
"Rab11a" 163.223491701244
"Ssb" 178.326760450561
"Tm2d1" 183.911855108742
"Psma1" 138.709929262619
"Fam212a" 33.8631866194211
"Fez2" 81.2641256800531
"Xbp1" 122.571980809283
"Il1b" 0.315151674785513
"Bag1" 131.933539734183
"Gm9794" 148.868487609855
"Tpst2" 42.5995517462206
"Gm6863" 163.863538813831
"Sec61b" 190.248168896516
"Ifnar2" 56.1165781496316
"Tomm5" 203.09537831534
"Tma7" 166.774959846401
"Gm15387" 232.325001290608
"Desi1" 329.248618646598
"Cope" 169.637909697221
"Nkx6-2" 345.797561111987
"Clec4a3" 0.277510528047886
"Tmeff1" 347.548750641586
"Snapin" 235.812052848459
"Tmem258" 235.991004816911
"Yif1a" 199.712108364363
"Rtn3" 239.947731171549
"Aip" 201.261140750158
"Rnf5" 245.491908044269
"Ssr4" 88.3593905190763
"Mcl1" 74.9513989746758
"Glo1" 263.245026692495
"Ddrgk1" 181.216299102983
"Tmem98" 341.837385607647
"Clpp" 238.072748096371
"Cops9" 212.895241838761
"Rpn2" 119.109472315113
"Fermt3" 0.984842302157261
"Sdf2" 199.643807473008
"Cct8" 169.92280247026
"Tspo" 146.265653456842
"AC165247.1" 0.832361780671753
"Sbds" 240.694212405855
"Slc25a11" 123.998385346402
"Vbp1" 236.78882279505
"Snrpd1" 203.579854632556
"Csf3r" 0.200829092009963
"Mbnl2" 241.484126281423
"Vti1b" 200.1394975021
"Tpp1" 92.062797770145
"Aspa" 301.738202406674
"Limd2" 9.65401951899382
"Mrpl34" 214.334313032292
"Ranbp1" 182.722730293702
"Fcgrt" 172.690221271491
"Slamf9" 0.258796639926399
"Ucp2" 31.7398997024117
"mt-Tp" 215.414912827058
"Gm4617" 232.650013203118
"Ik" 150.109051263014
"Ndufa9" 158.493191484371
"Maf1" 166.009892787638
"Tmem160" 135.108286541423
"Hpgds" 0.373845641953611
"Eif3h" 171.766963856247
"Eif4a1" 125.422787979549
"Tm2d3" 150.275072369144
"Slain1" 332.407081964972
"Nenf" 191.36313745812
"Rps3" 130.05802215945
"Arpc1b" 67.0966857741234
"Psmc1" 192.144998129161
"Tpm3" 67.3980051976403
"Cystm1" 315.153879163061
"Hba-a1" 258.619431482529
"U2af1" 203.568244767846
"Mpc1" 220.252595748349
"Gngt2" 2.58912892316186
"Fcf1" 140.648562515144
"Mrpl41" 207.765197904672
"Mcfd2" 72.5541776260408
"Dpy30" 189.988906640912
"Rps2" 131.412901035751
"Adap2" 24.4221314160089
"Fgd2" 0.350503654082785
"Hsd17b12" 216.659972169305
"Cript" 212.193825801378
"Tmed4" 195.887714698541
"Fam96b" 178.48706776087
"1700017B05Rik" 15.7495028196888
"Tspan31" 138.14631413716
"Hck" 0.234567864920335
"Gm14303" 87.6157936770441
"Dynlt1b" 160.215056553269
"Timm13" 198.710856745306
"Efnb3" 332.497652402708
"Mlc1" 337.025111463706
"Psma4" 158.040076178969
"Idh2" 120.948468572882
"Ppp2r1a" 209.563210147891
"Carhsp1" 299.513348701935
"Derl1" 122.941696614229
"Hepacam" 321.100557282965
"Rasgrp3" 105.851549524449
"Surf4" 124.654621252438
"Rogdi" 41.7011249161145
"Abhd17a" 228.237836714562
